,filename,id,allans,optimal partition,optimal order corresponding to the optimal partition,frobinius norm of optimal partition,optimal order of default algorithm,frobinius norm of default algorithm
28,GeneralKnowledge4,1,"['US', 'Columbia', 'NewYork']","[2, 1, 0]","[2, 1, 0]",0.01002988342108578,"[2, 1, 0]",0.01002988342108578
29,GeneralKnowledge4,2,"['Harvard', 'Washington', 'US', 'NewYork', 'Boston', 'Cambridge']","[5, 4, 3, 2, 1, 0]","[5, 4, 3, 2, 1, 0]",0.028527216536727403,"[5, 4, 3, 2, 1, 0]",0.028527216536727403
30,GeneralKnowledge4,3,"['Hulk', 'GreenLantern']","[1, 0]","[1, 0]",0.022222222222222223,"[1, 0]",0.022222222222222223
31,GeneralKnowledge4,4,"['Marvel', 'CaptainAmerica']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
32,GeneralKnowledge4,5,['Watson'],[0],[0],0.0,[0],0.0
33,GeneralKnowledge4,6,"['Alfred', 'Robin']","[1, 0]","[1, 0]",0.046875,"[1, 0]",0.046875
34,GeneralKnowledge4,7,"['US', 'UK', 'Latvia', 'Austria']","[3, 2, 0, 1]","[2, 3, 1, 0]",0.062112999374994156,"[2, 3, 1, 0]",0.062112999374994156
35,GeneralKnowledge4,8,"['Melbourne', 'Sydney', 'Canberra']","[1, 2, 0]","[2, 0, 1]",0.01776192129827845,"[2, 0, 1]",0.01776192129827845
36,GeneralKnowledge4,9,"['Austria', 'US', 'France', 'UK', 'Germany', 'Poland']","[2, 5, 4, 3, 1, 0]","[5, 4, 0, 3, 2, 1]",0.04356476327186556,"[5, 4, 0, 3, 2, 1]",0.04356476327186556
37,GeneralKnowledge4,10,"['NewYork', 'Peking', 'Atlanta', 'Athens', 'Tokyo', 'US', 'LosAngeles']","[2, 6, 1, 3, 4, 5, 0]","[6, 2, 0, 3, 4, 5, 1]",0.02093580976737759,"[6, 2, 0, 3, 4, 5, 1]",0.02093580976737759
38,GeneralKnowledge4,11,"['Greece', 'UK', 'US', 'Egypt']","[3, 1, 2, 0]","[3, 1, 2, 0]",0.033501260508640406,"[3, 1, 2, 0]",0.033501260508640406
39,GeneralKnowledge4,12,"['UK', 'US', 'Iraq', 'Babylon']","[2, 2, 0, 1]","[2, 3, 1, 0]",0.03621924747011819,"[2, 3, 1, 0]",0.042426406871192854
40,GeneralKnowledge5,0,"['US', 'UK']","[0, 0]","[1, 0]",0.18288442256830018,"[1, 0]",0.19047619047619047
41,GeneralKnowledge5,1,"['PoyangLake', 'QinghaiLake']","[1, 0]","[1, 0]",0.07142857142857142,"[1, 0]",0.07142857142857142
42,GeneralKnowledge6,0,"['SaoPaulo', 'Rio', 'Brasilia']","[1, 2, 0]","[2, 0, 1]",0.0,"[2, 0, 1]",0.0
43,GeneralKnowledge6,1,"['US', 'Canada']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
44,Go1,0,"['S16', 'S15', 'T17', 'T16']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.04111711414037298,"[3, 2, 1, 0]",0.04111711414037298
45,Go1,1,"['P19', 'Q17', 'Q18', 'Q19']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.05196152422706632,"[3, 2, 1, 0]",0.05196152422706632
46,Go1,2,"['P16', 'T18', 'S16']","[2, 1, 0]","[2, 1, 0]",0.0761047688595938,"[2, 1, 0]",0.0761047688595938
47,Go1,3,"['S18', 'T18', 'S17']","[2, 0, 1]","[1, 2, 0]",0.062112999374994156,"[1, 2, 0]",0.062112999374994156
48,Go1,4,"['S18', 'T18', 'Q18', 'S16', 'S19']","[4, 3, 2, 1, 0]","[4, 3, 2, 1, 0]",0.047899988390556855,"[4, 3, 2, 1, 0]",0.047899988390556855
49,Go1,5,"['R18', 'R17', 'Q18', 'T16', 'R19', 'S19', 'Q19']","[6, 4, 3, 5, 2, 1, 0]","[6, 5, 4, 2, 1, 3, 0]",0.06043543140165663,"[6, 5, 4, 2, 1, 3, 0]",0.06043543140165663
50,Go1,6,"['T15', 'S17', 'S16', 'T16', 'T17', 'T18']","[1, 5, 3, 4, 2, 0]","[5, 0, 4, 2, 3, 1]",0.025030328537576904,"[5, 0, 4, 2, 3, 1]",0.025030328537576904
51,Go1,7,"['R16', 'S16', 'T15']","[2, 1, 0]","[2, 1, 0]",0.0322301281945155,"[2, 1, 0]",0.0322301281945155
52,Go1,8,"['S16', 'T17', 'T18', 'S15', 'T16']","[3, 2, 1, 4, 0]","[4, 2, 1, 0, 3]",0.030612244897959183,"[4, 2, 1, 0, 3]",0.030612244897959183
53,Go1,9,"['T17', 'T13', 'S17', 'T18']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.020618556701030927,"[3, 2, 1, 0]",0.020618556701030927
54,Go2,0,"['G2', 'F1', 'E4']","[2, 1, 0]","[2, 1, 0]",0.08838834764831845,"[2, 1, 0]",0.08838834764831845
55,Go2,1,"['A2', 'C2', 'G1']","[2, 1, 0]","[2, 1, 0]",0.04159451654038515,"[2, 1, 0]",0.04159451654038515
56,Go2,2,"['E3', 'D5', 'B1', 'D2', 'D1', 'F1']","[4, 5, 1, 2, 3, 0]","[5, 2, 3, 4, 0, 1]",0.019230769230769232,"[5, 2, 3, 4, 0, 1]",0.019230769230769232
57,Go2,3,"['A3', 'C2', 'C1', 'A2']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.04861017342390847,"[3, 2, 1, 0]",0.04861017342390847
58,Go2,4,"['E4', 'G4', 'H6']","[2, 1, 0]","[2, 1, 0]",0.04714045207910317,"[2, 1, 0]",0.04714045207910317
59,Go2,5,"['C3', 'C1', 'C4', 'B6', 'C7', 'B3']","[4, 3, 2, 0, 1, 2]","[3, 4, 5, 2, 1, 0]",0.07481876089544671,"[3, 4, 5, 2, 1, 0]",0.0831890330807703
60,Go2,6,"['C1', 'H1', 'F1', 'C2', 'D1', 'E1', 'F2']","[1, 0, 5, 3, 2, 2, 4]","[1, 0, 5, 4, 3, 6, 2]",0.07592186621412048,"[1, 2, 0, 4, 5, 3, 6]",0.07900992577510069
61,Go2,7,"['E3', 'H1', 'E2', 'G2', 'D2', 'C1']","[4, 3, 2, 5, 1, 0]","[5, 4, 2, 1, 0, 3]",0.041239304942116126,"[5, 4, 2, 1, 0, 3]",0.041239304942116126
62,Go2,8,"['B1', 'B2', 'D3', 'C1', 'C2']","[4, 2, 0, 1, 3]","[2, 3, 1, 4, 0]",0.056964877739143674,"[2, 3, 1, 4, 0]",0.056964877739143674
63,Go2,9,"['B7', 'A8', 'B8', 'B6']","[2, 1, 0, 2]","[2, 1, 3, 0]",0.05732377326580099,"[2, 1, 3, 0]",0.07317073170731707
64,Go3,0,"['T13', 'T19', 'S17', 'T18']","[2, 1, 3, 0]","[3, 1, 0, 2]",0.061487546190134565,"[3, 1, 0, 2]",0.061487546190134565
65,Go3,1,"['T17', 'R17', 'S16', 'Q17', 'Q19']","[2, 4, 3, 1, 0]","[4, 3, 0, 2, 1]",0.03225806451612903,"[4, 3, 0, 2, 1]",0.03225806451612903
66,Go3,2,"['T11', 'S11', 'S14', 'T13', 'T12']","[0, 4, 3, 2, 1]","[0, 4, 3, 2, 1]",0.08164965809277261,"[0, 4, 3, 2, 1]",0.08164965809277261
67,Go3,3,"['Q18', 'N19', 'O18']","[2, 1, 0]","[2, 1, 0]",0.0,"[2, 1, 0]",0.0
68,Go3,4,"['S12', 'R14', 'S14', 'Q14']","[2, 1, 3, 0]","[3, 1, 0, 2]",0.0,"[3, 1, 0, 2]",0.0
69,Go3,5,"['O19', 'O18', 'R18', 'T16', 'Q18']","[4, 3, 2, 1, 0]","[4, 3, 2, 1, 0]",0.05237828008789241,"[4, 3, 2, 1, 0]",0.05237828008789241
70,Go3,6,"['T15', 'R17', 'Q17', 'R19']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.07654655446197431,"[3, 2, 1, 0]",0.07654655446197431
71,Go3,7,"['N19', 'Q19', 'N17', 'N18', 'P19']","[3, 1, 4, 2, 0]","[4, 1, 3, 0, 2]",0.03225806451612903,"[4, 1, 3, 0, 2]",0.03225806451612903
72,Go3,8,"['L19', 'K19', 'O17', 'M18', 'M19']","[3, 2, 4, 1, 0]","[4, 3, 1, 0, 2]",0.05892556509887896,"[4, 3, 1, 0, 2]",0.05892556509887896
73,Go3,9,"['R19', 'T18', 'Q19', 'S19', 'T17']","[3, 0, 2, 1, 3]","[1, 3, 2, 4, 0]",0.06984907110022305,"[1, 3, 2, 4, 0]",0.07204381596421112
74,Math1,0,"['2', '3/2']","[1, 0]","[1, 0]",0.011111111111111112,"[1, 0]",0.011111111111111112
75,Math1,1,"['3/10', '9/10', '3/4']","[2, 1, 0]","[2, 1, 0]",0.04099169746008971,"[2, 1, 0]",0.04099169746008971
76,Math1,2,"['1/3', '2/3', '1/2']","[2, 0, 1]","[1, 2, 0]",0.04419417382415922,"[1, 2, 0]",0.04419417382415922
77,Math1,3,"['10', '14', '15']","[2, 1, 0]","[2, 1, 0]",0.11517511068997928,"[2, 1, 0]",0.11517511068997928
78,Math1,4,['48'],[0],[0],0.0,[0],0.0
79,Math1,5,"['10', '9', '9.1']","[2, 1, 0]","[2, 1, 0]",0.037037037037037035,"[2, 1, 0]",0.037037037037037035
80,Math1,6,"['1', '0.9', '0.5']","[2, 1, 0]","[2, 1, 0]",0.0,"[2, 1, 0]",0.0
81,Math1,7,"['1/3', '1/2']","[0, 1]","[0, 1]",0.15625,"[0, 1]",0.15625
82,Math1,8,"['5', '3/2', '6', '1', '2', '3']","[3, 2, 1, 5, 4, 0]","[5, 2, 1, 0, 4, 3]",0.050204371233880496,"[5, 2, 1, 0, 4, 3]",0.050204371233880496
83,Math1,9,"['1/4', '1/2']","[1, 0]","[1, 0]",0.029411764705882353,"[1, 0]",0.029411764705882353
84,Math2,0,"['3/4', '1/3', '1', '1/8', '1/4', '1/2']","[5, 4, 2, 0, 1, 3]","[3, 4, 2, 5, 1, 0]",0.05846339666834283,"[3, 4, 2, 5, 1, 0]",0.05846339666834283
85,Math2,1,"['2', '1', '0', '1/2']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.09340021216619661,"[3, 2, 1, 0]",0.09340021216619661
86,Math2,2,"['9', '8', '6', '5', '7']","[0, 3, 2, 0, 1]","[3, 0, 4, 2, 1]",0.052917099189221814,"[3, 4, 1, 0, 2]",0.05567022142689041
87,Math2,3,"['6', '30', '490', '2', '493', '251']","[5, 4, 3, 2, 1, 0]","[5, 4, 3, 2, 1, 0]",0.0,"[5, 4, 3, 2, 1, 0]",0.0
88,Math2,4,"['39', '135', '141', '9', '36', '158', '143']","[6, 5, 3, 2, 1, 4, 0]","[6, 4, 3, 2, 5, 1, 0]",0.0,"[6, 4, 3, 2, 5, 1, 0]",0.0
89,Math2,5,"['4', '1', '3', '2']","[3, 0, 2, 1]","[1, 3, 2, 0]",0.11096108760152638,"[1, 3, 2, 0]",0.11096108760152638
90,Math2,6,"['1', '0', '1/3', '2', '1/4', '1/2']","[5, 4, 0, 3, 2, 1]","[2, 5, 4, 3, 1, 0]",0.03535533905932738,"[2, 5, 4, 3, 1, 0]",0.03535533905932738
91,Math2,7,"['1/3', '5', '2/7', '1/2', '1/6', '0', '1']","[6, 1, 0, 4, 5, 3, 2]","[2, 1, 6, 5, 3, 4, 0]",0.03606561254031919,"[2, 1, 6, 5, 3, 4, 0]",0.03606561254031919
92,Math2,8,"['256', '81', '100', '1', '0', '196', '1056']","[6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 1, 0]",0.0,"[6, 5, 4, 3, 2, 1, 0]",0.0
93,Math2,9,"['25', '24', '6', '2', '54', '52', '36']","[4, 3, 2, 1, 6, 0, 5]","[5, 3, 2, 1, 0, 6, 4]",0.024390243902439025,"[5, 3, 2, 1, 0, 6, 4]",0.024390243902439025
94,Math3,0,"['1', '13', '14']","[2, 1, 0]","[2, 1, 0]",0.1111111111111111,"[2, 1, 0]",0.1111111111111111
95,Math3,1,"['100', '98', '1', '96']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.0625,"[3, 2, 1, 0]",0.0625
96,Math3,2,"['12', '2', '1', '4', '5']","[4, 3, 2, 1, 0]","[4, 3, 2, 1, 0]",0.08,"[4, 3, 2, 1, 0]",0.08
97,Math3,3,"['6', '1', '600']","[2, 1, 0]","[2, 1, 0]",0.0,"[2, 1, 0]",0.0
98,Math3,4,"['1', '374']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
99,Math3,5,"['5', '1', '8', '6 or 12', '6']","[3, 2, 1, 0, 4]","[3, 2, 1, 0, 4]",0.0,"[3, 2, 1, 0, 4]",0.0
100,Math3,6,"['1', '1/2']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
101,Math3,7,"['1', '1/2', '3/4', '6/7']","[3, 2, 1, 0]","[3, 2, 1, 0]",0.0,"[3, 2, 1, 0]",0.0
102,Math3,8,"['1', '50', '54', '47']","[3, 2, 0, 1]","[2, 3, 1, 0]",0.0,"[2, 3, 1, 0]",0.0
103,Math3,9,"['1', '1000', '720']","[2, 1, 0]","[2, 1, 0]",0.0,"[2, 1, 0]",0.0
104,Pronunciation1,0,"['pu3', 'pu4', 'fu3', 'bu3', 'bu4', 'fu4']","[4, 3, 2, 5, 1, 0]","[5, 4, 2, 1, 0, 3]",0.06123724356957946,"[5, 4, 2, 1, 0, 3]",0.06123724356957946
105,Pronunciation1,1,"['bing3', 'bin3', 'bing4', 'bin4']","[3, 1, 2, 0]","[3, 1, 2, 0]",0.08247860988423225,"[3, 1, 2, 0]",0.08247860988423225
106,Pronunciation1,2,"['jing3', 'jin3']","[1, 0]","[1, 0]",0.05128205128205128,"[1, 0]",0.05128205128205128
107,Pronunciation1,3,"['mi2', 'mi4', 'gu3']","[1, 2, 0]","[2, 0, 1]",0.043478260869565216,"[2, 0, 1]",0.043478260869565216
108,Pronunciation1,4,"['que1', 'mei3', 'jue2', 'mei4']","[2, 1, 3, 0]","[3, 1, 0, 2]",0.0,"[3, 1, 0, 2]",0.0
109,Pronunciation1,5,"['gui1', 'jun1']","[1, 0]","[1, 0]",0.022222222222222223,"[1, 0]",0.022222222222222223
110,Pronunciation1,6,"['nu1', 'nu3', 'die2', 'nao3', 'nu2', 'nao2']","[5, 2, 1, 0, 4, 3]","[3, 2, 1, 5, 4, 0]",0.04,"[3, 2, 1, 5, 4, 0]",0.04
111,Pronunciation1,7,"['fu2', 'piao2', 'piao3']","[2, 1, 0]","[2, 1, 0]",0.0,"[2, 1, 0]",0.0
112,Pronunciation1,8,"['zhi4', 'zhui1', 'sui1', 'ju1']","[1, 2, 0, 0]","[3, 2, 0, 1]",0.07334303683725453,"[2, 3, 0, 1]",0.11712139482105108
113,Pronunciation1,9,['bi4'],[0],[0],0.0,[0],0.0
114,Pronunciation1,10,['yun4'],[0],[0],0.0,[0],0.0
115,Pronunciation2,0,"['fu3', 'fu2']","[0, 0]","[1, 0]",0.17569862529535027,"[1, 0]",0.2676056338028169
116,Pronunciation2,1,"['dang3', 'dang4']","[1, 0]","[1, 0]",0.22058823529411764,"[1, 0]",0.22058823529411764
117,Pronunciation2,2,"['kuang4', 'guang3']","[1, 0]","[1, 0]",0.16129032258064516,"[1, 0]",0.16129032258064516
118,Pronunciation2,3,"['zhao4', 'zhao1']","[0, 0]","[1, 0]",0.15637025899113188,"[1, 0]",0.3235294117647059
119,Pronunciation2,4,"['she4', 'he4', 'hao3', 'chi4', 'nao3', 'nan3']","[5, 3, 4, 2, 1, 0]","[5, 4, 3, 1, 2, 0]",0.0,"[5, 4, 3, 1, 2, 0]",0.0
120,Pronunciation2,5,"['jiu1', 'jiu4']","[1, 0]","[1, 0]",0.20634920634920634,"[1, 0]",0.20634920634920634
121,Pronunciation2,6,"['jiu4', 'jiu3', 'jiu1']","[1, 0, 0]","[2, 1, 0]",0.1734640095444733,"[2, 1, 0]",0.19928706724190764
122,Pronunciation2,7,"['zhen1', 'zhen3']","[1, 0]","[1, 0]",0.025,"[1, 0]",0.025
123,Pronunciation2,8,['jiao4'],[0],[0],0.0,[0],0.0
124,Pronunciation2,9,"['chuang4', 'chuang1']","[1, 0]","[1, 0]",0.22727272727272727,"[1, 0]",0.22727272727272727
125,Pronunciation3,0,"['pi4', 'bi4']","[1, 0]","[1, 0]",0.20454545454545456,"[1, 0]",0.20454545454545456
126,Pronunciation3,1,"['bu3', 'pu2', 'pu3', 'fu3']","[1, 2, 1, 0]","[3, 2, 0, 1]",0.12431027839961867,"[3, 2, 1, 0]",0.12523639086359312
127,Pronunciation3,2,"['hui4', 'kui4', 'kuai4', 'gui4']","[3, 1, 2, 0]","[3, 1, 2, 0]",0.12171612389003691,"[3, 1, 2, 0]",0.12171612389003691
128,Pronunciation3,3,"['heng2', 'heng4']","[1, 0]","[1, 0]",0.11904761904761904,"[1, 0]",0.11904761904761904
129,Pronunciation3,4,"['hun3', 'hun4']","[1, 0]","[1, 0]",0.0975609756097561,"[1, 0]",0.0975609756097561
130,Pronunciation3,5,"['zhan1', 'nian1']","[1, 0]","[1, 0]",0.08108108108108109,"[1, 0]",0.08108108108108109
131,Pronunciation3,6,"['pang1', 'pang2']","[0, 1]","[0, 1]",0.0625,"[0, 1]",0.0625
132,Pronunciation3,7,"['xuan4', 'yun4', 'yun1']","[2, 1, 0]","[2, 1, 0]",0.13513513513513514,"[2, 1, 0]",0.13513513513513514
133,Pronunciation3,8,"['xie4', 'qi4', 'xie1']","[1, 2, 0]","[2, 0, 1]",0.030303030303030304,"[2, 0, 1]",0.030303030303030304
134,Pronunciation3,9,"['zha4', 'ya1', 'zhe2', 'zha1', 'ya4']","[1, 2, 3, 4, 0]","[4, 0, 1, 2, 3]",0.02702702702702703,"[4, 0, 1, 2, 3]",0.02702702702702703
135,Pronunciation4,0,"['she4', 'zhi4']","[1, 0]","[1, 0]",0.07317073170731707,"[1, 0]",0.07317073170731707
136,Pronunciation4,1,"['zhi1', 'chi4', 'chi1']","[2, 0, 1]","[1, 2, 0]",0.0,"[1, 2, 0]",0.0
137,Pronunciation4,2,"['gui3', 'ga2', 'la2', 'ga1']","[3, 1, 0, 2]","[2, 1, 3, 0]",0.04861017342390847,"[2, 1, 3, 0]",0.04861017342390847
138,Pronunciation4,3,"['ku4', 'hao4', 'gu4']","[1, 2, 0]","[2, 0, 1]",0.0,"[2, 0, 1]",0.0
139,Pronunciation4,4,"['yan3', 'dan4', 'yi4', 'yan2', 'yan4']","[3, 1, 0, 4, 2]","[2, 1, 4, 0, 3]",0.027950849718747374,"[2, 1, 4, 0, 3]",0.027950849718747374
140,Pronunciation4,5,"['jie2', 'qiong2']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
141,Pronunciation4,6,"['cheng4', 'chen4']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
142,Pronunciation4,7,"['ling2', 'ling4']","[0, 1]","[0, 1]",0.047058823529411764,"[0, 1]",0.047058823529411764
143,Pronunciation4,8,"['bi2', 'bi4', 'bi3']","[2, 1, 0]","[2, 1, 0]",0.14341236958670125,"[2, 1, 0]",0.14341236958670125
144,Pronunciation4,9,"['bu3', 'bu4', 'bao3', 'pu4']","[2, 1, 3, 0]","[3, 1, 0, 2]",0.0,"[3, 1, 0, 2]",0.0
145,Pronunciation4,10,"['hui2', 'tong2']","[1, 0]","[1, 0]",0.0,"[1, 0]",0.0
146,Pronunciation4,11,"['pi2', 'bai3', 'bi3', 'bai4', 'bi4']","[4, 1, 2, 0, 3]","[3, 1, 2, 4, 0]",0.03549314249999666,"[3, 1, 2, 4, 0]",0.03549314249999666
