序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、1950年世界上人口最多的城市是	2、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	3、哥伦比亚大学位于哪个城市	4、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	5、哈佛大学位于哪个城市	6、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	7、右图是哪个美国漫画中的超级英雄的标志	8、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	9、右图是哪个美国漫画中的超级英雄的标志	10、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	11、福尔摩斯的助手叫什么	12、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	13、蝙蝠侠的助手叫什么	14、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	15、右图是哪个国家的国旗	"16、你认为其他人可能回答的答案是（如果有多个请用逗号隔开）"	17、澳大利亚的首都是哪个城市	18、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	19、著名音乐家肖邦是哪国人	20、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	21、1984年夏季奥运会在哪个城市举办	22、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	23、世界七大奇迹之一的亚历山大灯塔位于哪个国家	24、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	25、世界七大奇迹之一的空中花园位于哪个国家	26、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）
35	N/A	N/A	N/A	N/A	N/A	NewYork	不知道	不知道	不知道	不知道	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	Austria	Austria	Canberra	Sydney	Germany	Germany	不知道	不知道	俄罗斯	俄罗斯	墨西哥	墨西哥
36	N/A	N/A	N/A	N/A	N/A	China	US	NewYork	Columbia	Boston	法国	不知道	Hulk	CaptainAmerica	蜘蛛侠	Watson	不知道	胖同学	不知道	不知道	不知道	Melbourne	不知道	Poland	France	LosAngeles	巴西	Egypt	US,俄罗斯	孟买	France
38	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	NewYork	洛杉矶	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	Canberra	Canberra	Germany	Germany	不知道	不知道	不知道	不知道	Babylon	Babylon
39	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking	纽约市	Columbia	加拿大	加拿大	不知道	不知道	Marvel	不知道	不知道	不知道	不知道	不知道	不知道	朝鲜	Canberra	不知道	中国	US	Peking	不知道	意大利	不知道	不知道	不知道
40	N/A	N/A	N/A	N/A	N/A	China	US	Columbia	US	US	Harvard	GreenLantern	Arrow	CaptainAmerica	CaptainAmerica	Watson	Watson	福克斯	福克斯	Italy	德国	丹麦	美国	US	Germany	Peking	日本	US	意大利	US	中国
41	N/A	N/A	N/A	N/A	N/A	US	China	US	英国	US	法国	超级飞侠	超级飞侠	奥特曼	奥特曼	福尔摩斯	奥特曼	蝙蝠侠	奥特曼	UK	US	法国	英国	US	UK	Peking	上海	US	UK	US	UK
42	N/A	N/A	N/A	N/A	N/A	Peking	NewYork,Tokyo,曼谷	洛杉矶	Columbia	NewYork	洛杉矶	超胆侠	超胆侠	CaptainAmerica	CaptainAmerica	Watson	Watson	詹姆斯	詹姆斯	US	US	澳大利亚	澳大利亚	UK	US	US	US	US	US	荷兰	荷兰
43	N/A	N/A	N/A	N/A	N/A	Peking	Shanghai	Manhattan	NewYork	Cambridge	Boston	Hulk	Hulk	CaptainAmerica	CaptainAmerica	没有	不知道	蝙蝠侠	自己	法国	法国	塔贝拉	塔贝拉	Germany	France	希腊	希腊	印度	印度	尼尼微	尼尼微
44	N/A	N/A	N/A	N/A	N/A	Peking	1	英国	1	曼哈顿	4	GreenLantern	1	CaptainAmerica	1	Watson	1	一堆	1	印尼	1	看看	1	意大利	1	上海	Peking	UK	1	你看看	1
46	N/A	N/A	N/A	N/A	N/A	印度	China	US	英国	US	US	1	2	1	1	眼镜	眼镜	教授	教授	UK	UK	纽约	华盛顿	UK	Germany	Atlanta	LosAngeles	德国	US	US	UK
47	N/A	N/A	N/A	N/A	N/A	Bombay	Peking	NewYork	不知道	Boston	Harvard	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	猫女	猫女	芬兰	瑞士	Canberra	Sydney	Poland	Poland	中国	中国	伊朗	伊朗	Iran	Babylon
48	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	US	US	美国队长	美国队长	CaptainAmerica	CaptainAmerica	摩西	摩西	蜘蛛侠	蜘蛛侠	。	。	亲	亲	Germany	Germany	US	US	UK	UK	US	US
50	N/A	N/A	N/A	N/A	N/A	香港	不知道	Columbia	不知道	NewYork	没有	漫威	不知道	CaptainAmerica	没有	不知道	没有	不知道	不做饭	哥伦比亚	智利	新德里	没有	France	France	Athens	Athens,巴黎	US	US	新加坡	新加坡
51	N/A	N/A	N/A	N/A	N/A	罗马	巴黎,罗马,雅典	NewYork	London,NewYork	Boston	Washington,Boston	Hulk	Hulk	CaptainAmerica	CaptainAmerica,Ironman	Watson	约翰,Watson	Robin	Robin,蝙蝠女	挪威	挪威,阿根廷	Melbourne	Melbourne	UK	UK,France	中国	US	罗马	罗马	Babylon	Babylon
52	N/A	N/A	N/A	N/A	N/A	China	US,非洲	US	加拿大	US	US	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	加拿大	不知道	不知道	不知道	US	US,UK	巴黎	很多人	不知道	不知道	不知道	不知道
53	N/A	N/A	N/A	N/A	N/A	地球	不知道	Columbia	都能对吧	Harvard	也许都对了	Hulk	看过的人	CaptainAmerica	知道的人	不知道	听说过的人	不知道	看过的人吧	不知道	知道的人	Sydney	很多人	Austria	很多很多吧	日本	不知道	不知道	不知道	缅甸	不知道
54	N/A	N/A	N/A	N/A	N/A	非洲	China	英国	US	US	US	钢铁侠	蜘蛛侠	Ironman	Ironman	不知道	不知道	不知道	不知道	加兰	不知道	奥地利	不知道	UK	US	英国	US	US	US	中国	中国
55	N/A	N/A	N/A	N/A	N/A	印度	China	US	US	Boston	Boston	鹰眼	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	UK	UK	Canberra	Sydney	Poland	UK	LosAngeles	LosAngeles	Egypt	US	Babylon	Babylon
57	N/A	N/A	N/A	N/A	N/A	NewYork	Shanghai	费城	Columbia	Boston	费城	GreenLantern	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	蝙蝠女	塞舌尔	丹麦	Canberra	Sydney	Poland	Poland	US	不知道	Egypt	Egypt	Iraq	Iraq
58	N/A	N/A	N/A	N/A	N/A	China	NewYork,Peking	NewYork	不知道	NewYork	不知道	Hulk	不知道	CaptainAmerica	不知道	不知道	不知道	Alfred	不知道	巴西	不知道	不知道	不知道	UK	不知道	就是你	姐不知	不知道	不知道	不知道	不知道
59	N/A	N/A	N/A	N/A	N/A	印度	不知道	US	不知道	US	不知道	不知道	不知道	CaptainAmerica	不着	不知道	不记得	不知道	不知道	UK	科技	奥地利	打家劫舍	US	计算机	US	英国,US	不知	少	中国	不知
60	N/A	N/A	N/A	N/A	N/A	Peking	广东,Shanghai	NewYork	US,英国	Boston	US,US,US	Hulk	黑寡妇	CaptainAmerica	美国超人	华生大夫	Watson	罗宾汉	Robin	土耳其	缅甸	Canberra	Canberra	Poland	荷兰	拒绝	减肥法你	UK	US,德国	France	UK,德国
61	N/A	N/A	N/A	N/A	N/A	NewYork	London	NewYork	Manhattan	Cambridge	US	GreenLantern	漫威	CaptainAmerica	蝙蝠侠	Watson	画的	你放假	你发你发	你的呢	记得当年	你发你	解放军	你发你	减肥法你	Peking	村民	你发发你	你吃奶粉	你发发你	你的烦恼
62	N/A	N/A	N/A	N/A	N/A	US	红酒的灰色地带狗米	非洲	红酒,灰,色的狗米	亚洲	红酒,,绿酒店,小新	英雄联盟	绿酒,白酒	CaptainAmerica	绿酒店	喜洋洋	红酒,小米	懒洋洋	红太狼	UK	喜洋洋	北京	灰太狼	US	村长	US	不知道	US	陈峰	UK	章若楠
64	N/A	N/A	N/A	N/A	N/A	墨西哥城	不知道	NewYork	Columbia	Cambridge	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	约翰·H·华生	不知道	Alfred	不知道	不知道	不知道	Canberra	Canberra	Poland	Poland	中国	US	Egypt	UK	Babylon	叙利亚
65	N/A	N/A	N/A	N/A	N/A	China	印度	NewYork	US	Massachusetts	US	闪电侠	钢铁侠	CaptainAmerica	蜘蛛侠	毕生	毕华	Robin	罗缤	法国	印度	Canberra	拉萨	France	US	US	英国	France	纽约	UK	France
66	N/A	N/A	N/A	N/A	N/A	China	俄罗斯	英国	US	US	US	不知道	Hulk	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	Italy	俄罗斯	澳大利亚	澳大利亚	UK	UK	US	US	US	US	UK	US
67	N/A	N/A	N/A	N/A	N/A	China	印度,US	NewYork	US	Cambridge	NewYork	美国队长	蜘蛛侠	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	US	US	Canberra	Canberra	US	US	Peking	南京,中国	US	US	US	US
68	N/A	N/A	N/A	N/A	N/A	Peking	China,地球	澳洲	美洲,欧洲	US	英国,德国	Hulk	钢铁侠	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	德国	德国	美国	欧洲,德国,英国	肖邦	UK,Germany,France	US	,20%	澳大利亚	澳大利亚	US	中国,UK
70	N/A	N/A	N/A	N/A	N/A	莫斯科	,5个	加拿大	,0	US	100	Hulk	100%	CaptainAmerica	100%	我知道	0%	不知道	50%	不知道	嗯,不知道	哥伦比亚	,一般	France	,100%	LosAngeles	LosAngeles	US	50%	US	,20%
71	N/A	N/A	N/A	N/A	N/A	China	China	NewYork	US	Cambridge	US	是的	是的	对的	对的	Watson	Watson	Robin	Robin	不认识	不认识	不知道	不知道	US	US	Tokyo	莫斯科	不知道	不知道	不知道	不知道
72	N/A	N/A	N/A	N/A	N/A	旧金山	NewYork,London	NewYork	Columbia	纽黑文	不知道	GreenLantern	不知道	CaptainAmerica	惊奇队长	Watson	不知道	Alfred	不知道	Austria	不知道	Canberra	Sydney,Melbourne	Germany	Austria	LosAngeles	LosAngeles	没听过	不知道	阿拉伯	不知道,就中东那块儿吧
73	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking,,南京	NewYork	NewYork	Cambridge	Cambridge	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	蝙蝠女	Austria	Austria	Canberra	Canberra	Poland	Poland	US	法国	Egypt	Egypt	Iraq	Iraq
75	N/A	N/A	N/A	N/A	N/A	Tokyo	莫斯科	NewYork	Washington	Cambridge	NewYork	GreenLantern	Batman	CaptainAmerica	Ironman	不知道	汤姆克鲁斯	Robin	罗涵	泰国	日本	Canberra	Sydney	Poland	France	LosAngeles	LosAngeles,Peking,首尔,London,Tokyo	Egypt	UK	Iraq	US
76	N/A	N/A	N/A	N/A	N/A	Peking	Peking,Shanghai,London,NewYork	不知道	不知道	Cambridge	Cambridge	不知道	不知道	蝙蝠侠	闪电侠,蜘蛛侠,蝙蝠侠	不知道	不知道	不知道	不知道	不知道	不知道	Canberra	Canberra	Poland	Poland,UK	US	英国	不知道	不知道	不知道	不知道
77	N/A	N/A	N/A	N/A	N/A	China	US,日本,印度	NewYork	Washington	Cambridge	旧金山	Hulk	Batman,蜘蛛侠	CaptainAmerica	Ironman,绿巨人	Watson	夏洛特	Robin	浩克	Austria	巴西	Canberra	澳洲	Poland	纽约	LosAngeles	日本	Egypt	巴西	Iraq	Iran
78	N/A	N/A	N/A	N/A	N/A	London	北平	NewYork	NewYork	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	不知道	不知道	不知道	Canberra	Canberra	Poland	UK	LosAngeles	舔一口	不知道	不知道	Babylon	不知道
79	N/A	N/A	N/A	N/A	N/A	Tokyo	London	Manhattan	兔兔	Cambridge	哦亲	路灯下	巧克力	CaptainAmerica	婆婆	Watson	卡死了	拉脱维亚国旗	快手	拉脱维亚国旗	滴滴	Canberra	十一月	Poland	舅舅	不知道	不知道	Egypt	去死	Babylon	完了
80	N/A	N/A	N/A	N/A	N/A	China	印度,US	NewYork	Washington,洛杉矶	Cambridge	NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	老管家	Italy	Italy	Canberra	Sydney	Poland	意大利	NewYork	US	不知道	不知道	Babylon	印度
81	N/A	N/A	N/A	N/A	N/A	NewYork	Peking	NewYork	NewYork	Cambridge	Boston	钢铁侠	钢铁侠	CaptainAmerica	CaptainAmerica	华生医生	华生医生	小丑	小丑	Austria	Austria	Canberra	Canberra	Poland	Poland	LosAngeles	不知都	印度	印度	Babylon	Babylon
82	N/A	N/A	N/A	N/A	N/A	河北	湖南	NewYork	不知道	Boston	不知道	雷神	不知道	CaptainAmerica	不知道	约翰	不知道	Robin	不知道	UK	不知都	Canberra	不知道	Poland	不知道	LosAngeles	LosAngeles	长沙市	不知道	Babylon	不知道
83	N/A	N/A	N/A	N/A	N/A	广州,上海	广州	哈曼顿	哈曼顿	Cambridge	Cambridge	Hulk	Hulk	CaptainAmerica	CaptainAmerica	华生大夫	华生大夫	罗宾汉	罗宾汉	叙利亚	叙利亚	Canberra	Canberra	Poland	Poland	LosAngeles	都知道	Egypt	Egypt	Iraq	Iraq
84	N/A	N/A	N/A	N/A	N/A	Tokyo	不知道	NewYork	很多	US	不知道	不知道	不清楚	不知道	不知道	Watson	很多	罗宾汉	很多	不知道	不清楚	Canberra	都知道	Poland	都知道	不	不知	不知道	不知道	不知道	不知道
85	N/A	N/A	N/A	N/A	N/A	NewYork	不知	NewYork	不知道	Cambridge	不知道	Hulk	不知	CaptainAmerica	不知	Watson	不知	Robin	不知	不知	不知	不知	不知	不知	不	莫斯科	LosAngeles	不知	不知	不知	不知
86	N/A	N/A	N/A	N/A	N/A	卢旺达	北平	墨西哥	西班牙	莫斯科	洛杉矶	鹰眼	闪电侠	CaptainAmerica	美盾	不知道	柯南	不知道	不知道	不知道	不知道	莫斯科	不知道	UK	US	LosAngeles	LosAngeles	France	UK	瑞士	瑞典
87	N/A	N/A	N/A	N/A	N/A	Tokyo	加拿大	NewYork	NewYork	Massachusetts	NewYork	Arrow	Arrow	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	不清楚	不清楚	Canberra	Canberra	Poland	Poland	NewYork	不知道	Egypt	Egypt	Babylon	Babylon
88	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking	旧金山	Columbia	NewYork	Harvard	不知道	不知道	Marvel	不知道	不知道	不知道	不知道	不知道	瑞士	俄罗斯	Canberra	不知道	中国	芬兰	515515	51515	意大利	不知道	不知道	US
89	N/A	N/A	N/A	N/A	N/A	社会	1886	4646	5454	Massachusetts	Massachusetts	54545	6767	64646	54646	5124	5121	好的好的	55	555	558	884	69	5484	5454	LosAngeles	LosAngeles	545	85	4545	554
90	N/A	N/A	N/A	N/A	N/A	Tokyo	Tokyo	NewYork	NewYork	英国	英国	Arrow	Arrow	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	不清楚	不清楚	Canberra	Canberra	Poland	Poland	Peking	Peking	Egypt	Egypt	Babylon	Babylon
91	N/A	N/A	N/A	N/A	N/A	China	China	NewYork	英国	US	US	钢铁侠	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	UK	US	英国	英国	US	US	NewYork	NewYork	UK	US	US	US
92	N/A	N/A	N/A	N/A	N/A	Peking	洛杉矶	Columbia	Columbia	US	Harvard	超胆侠	超胆侠	CaptainAmerica	CaptainAmerica	Watson	Watson	福布斯	福布斯	US	US	噢大利亚	澳大利亚	UK	UK	中国	日本	UK	UK	荷兰	荷兰
93	N/A	N/A	N/A	N/A	N/A	China	US	Columbia	US	Boston	Boston	GreenLantern	洛基	CaptainAmerica	CaptainAmerica	Watson	Watson	福克斯	福克斯	丹麦	德国	澳大利亚	新德里	France	Germany	不知道	不知道	US	中国	中国	US
